"title","author","isbn","publisher","edition","publication_year","department_code","subject","category","language","book_type","total_copies","available_copies","shelf_no","description","barcode"
"Inorganic Chemistry","Catherine E. Housecroft","9780199641826","Oxford University Press","5th","2018","CHE","Inorganic Chemistry","Academic Textbook","English","Textbook","8","3","CHE-L03","Inorganic chemistry topics.","B052"
"Genetics","Bruce R. Korf","9780073525344","McGraw-Hill","1st","2018","BIO","Genetics","Academic Textbook","English","Textbook","12","7","BIO-M04","Human genetics.","B053"
"Heat Transfer","J.P. Holman","9780073529366","McGraw-Hill","12th","2016","ME","Heat Transfer","Engineering Reference","English","Textbook","11","6","ME-N03","Heat transfer mechanisms.","B054"
"Geotechnical Engineering","Braja M. Das","9781337705028","Cengage Learning","3rd","2019","CE","Geotechnical","Engineering Reference","English","Textbook","10","5","CE-O03","Soil mechanics.","B055"
"Power Systems","John J. Grainger","9780070612938","McGraw-Hill","1st","2007","EEE","Power Systems","Engineering Reference","English","Textbook","14","9","EEE-P03","Power system analysis.","B056"
"Microprocessors","Gaonkar","9788120319572","Pearson","5th","2011","ECE","Microprocessors","Engineering Reference","English","Textbook","13","8","ECE-Q03","Microprocessor architecture.","B057"
"The Catcher in the Rye","J.D. Salinger","9780316769488","Little, Brown and Company","1st","1951","ENG","Fiction","Novel – Fiction","English","Novel","19","14","ENG-G10","Coming-of-age story.","B058"
"Lord of the Flies","William Golding","9780399501487","Perigee Books","1st","1954","ENG","Allegory","Novel – Fiction","English","Novel","18","12","ENG-G11","Survival and society.","B059"
"Fahrenheit 451","Ray Bradbury","9781451673319","Simon & Schuster","60th","2012","ENG","Dystopian","Novel – Fiction","English","Novel","17","11","ENG-G12","Censorship and books.","B060"
"The Wright Brothers","David McCullough","9781476786155","Simon & Schuster","1st","2015","HIS","Aviation History","Novel – Non-Fiction","English","Non-Fiction","12","7","HIS-D04","Biography of the Wright brothers.","B061"
"Quiet: The Power of Introverts","Susan Cain","9780307352156","Crown","1st","2012","ECO","Psychology","Novel – Non-Fiction","English","Non-Fiction","11","6","ECO-I07","Power of introversion.","B062"
"The Body Keeps the Score","Bessel van der Kolk","9780143127741","Penguin Books","1st","2014","ECO","Trauma","Novel – Non-Fiction","English","Non-Fiction","10","5","ECO-I08","Trauma and body.","B063"
"Reasoning Ability","Unknown","9789355012003","Arihant Publications","1st","2022","GEN","Reasoning","Competitive Exams","English","Reference","16","11","GEN-H06","Logical reasoning preparation.","B064"
"International Economics","Paul Krugman","9780134519571","Pearson","11th","2017","ECO","International Economics","Economics","English","Textbook","9","4","ECO-I05","Global trade and finance.","B065"
"Operations Management","William J. Stevenson","9780078024023","McGraw-Hill","12th","2017","MBA","Operations","Academic Textbook","English","Textbook","8","3","MBA-J05","Operations management.","B066"
"Analytical Chemistry","David Harvey","9780935702909","Freeman","1st","2000","CHE","Analytical Chemistry","Academic Textbook","English","Textbook","12","7","CHE-L04","Analytical techniques.","B067"
"Immunology","Janis Kuby","9781464180185","W.H. Freeman","8th","2015","BIO","Immunology","Academic Textbook","English","Textbook","11","6","BIO-M05","Immune system.","B068"
"Machine Design","Robert L. Norton","9780136123709","Pearson","5th","2013","ME","Machine Design","Engineering Reference","English","Textbook","10","5","ME-N04","Design of machines.","B069"
"Transportation Engineering","J. John","9789332518191","Pearson","1st","2014","CE","Transportation","Engineering Reference","English","Textbook","14","9","CE-O04","Transport systems.","B070"
"Control Systems","Norman S. Nise","9781119806321","Wiley","8th","2020","EEE","Control Systems","Engineering Reference","English","Textbook","13","8","EEE-P04","Control theory.","B071"
"Embedded Systems","Lyla B. Das","9788131761764","Pearson","2nd","2012","ECE","Embedded Systems","Engineering Reference","English","Textbook","12","7","ECE-Q04","Embedded system design.","B072"
"Beloved","Toni Morrison","9781400033416","Plume","1st","1987","ENG","Fiction","Novel – Fiction","English","Novel","15","10","ENG-G13","Pulitzer-winning novel on slavery.","B073"
"The Handmaid's Tale","Margaret Atwood","9780385490818","Anchor","1st","1998","ENG","Dystopian","Novel – Fiction","English","Novel","16","11","ENG-G14","Dystopian tale of oppression.","B074"
"One Hundred Years of Solitude","Gabriel García Márquez","9780060883287","Harper Perennial","1st","1970","ENG","Magical Realism","Novel – Fiction","English","Novel","17","12","ENG-G15","Multi-generational saga.","B075"
"The Silk Roads: A New History of the World","Peter Frankopan","9781101912017","Pantheon","1st","2015","HIS","World History","Novel – Non-Fiction","English","Non-Fiction","11","6","HIS-D05","History along silk roads.","B076"
"Thinking, Fast and Slow","Daniel Kahneman","9780374533557","Farrar, Straus and Giroux","1st","2011","ECO","Behavioral Economics","Novel – Non-Fiction","English","Non-Fiction","10","5","ECO-I09","Decision-making psychology.","B077"
"Atomic Habits","James Clear","9780735211292","Avery","1st","2018","ECO","Habits","Novel – Non-Fiction","English","Non-Fiction","12","7","ECO-I10","Building good habits.","B078"
"Non-Verbal Reasoning","Unknown","9789355012003","Arihant Publications","1st","2022","GEN","Non-Verbal","Competitive Exams","English","Reference","14","9","GEN-H07","Non-verbal reasoning.","B079"
"Development Economics","Debraj Ray","9780691017068","Princeton University Press","1st","1998","ECO","Development Economics","Economics","English","Textbook","9","4","ECO-I06","Economic development theories.","B080"
"Strategic Management","Michael E. Porter","9780029259210","Free Press","1st","1980","MBA","Strategy","Academic Textbook","English","Textbook","8","3","MBA-J06","Competitive strategy.","B081"
"Quantum Chemistry","Ira N. Levine","9780321804243","Pearson","7th","2014","CHE","Quantum Chemistry","Academic Textbook","English","Textbook","11","6","CHE-L05","Quantum principles in chemistry.","B082"
"Cell Biology","Gerald Karp","9781119481592","Wiley","9th","2020","BIO","Cell Biology","Academic Textbook","English","Textbook","10","5","BIO-M06","Cell structure and function.","B083"
"Vibrations and Waves","A.P. French","9780393099362","W.W. Norton","1st","1971","PHY","Vibrations","Academic Textbook","English","Textbook","12","7","PHY-E02","Wave mechanics.","B084"
"Linear Algebra","Gilbert Strang","9780980232714","Wellesley-Cambridge Press","4th","2009","MAT","Linear Algebra","Academic Textbook","English","Textbook","13","8","MAT-S01","Applied linear algebra.","B085"
"Calculus","James Stewart","9781285740621","Cengage Learning","8th","2015","MAT","Calculus","Academic Textbook","English","Textbook","14","9","MAT-S02","Single variable calculus.","B086"
"Modern World History","Norman Lowe","9781405896888","Pearson","3rd","2009","HIS","Modern History","History","English","Textbook","11","6","HIS-D06","20th century world history.","B087"
"Environmental Geography","Daniel B. Botkin","9780471483457","Wiley","2nd","2004","GEO","Environmental Geography","Geography","English","Textbook","10","5","GEO-F03","Human impact on environment.","B088"
"Literary Theory","Terry Eagleton","9780816654476","University of Minnesota Press","2nd","1996","ENG","Literary Theory","Academic Textbook","English","Textbook","9","4","ENG-T01","Introduction to literary theory.","B089"
"Discrete Mathematics","Kenneth H. Rosen","9780073383095","McGraw-Hill","7th","2011","MAT","Discrete Math","Academic Textbook","English","Textbook","12","7","MAT-S03","Discrete structures.","B090"
"Classical Mechanics","John R. Taylor","9781891389221","University Science Books","1st","2005","PHY","Mechanics","Academic Textbook","English","Textbook","11","6","PHY-E03","Classical mechanics.","B091"
"Organic Spectroscopy","William Kemp","9780333729915","Palgrave","3rd","1991","CHE","Spectroscopy","Academic Textbook","English","Textbook","10","5","CHE-L06","Instrumental methods.","B092"
"Microbial Genetics","Unknown","9780123846925","Academic Press","1st","2011","BIO","Microbial Genetics","Academic Textbook","English","Textbook","8","3","BIO-M07","Microbial genetics.","B093"
"Automobile Engineering","Kirpal Singh","9788180141479","Standard Publishers","11th","2007","ME","Automobile","Engineering Reference","English","Textbook","14","9","ME-N05","Automotive engineering.","B094"
"Surveying","B.C. Punmia","9789339218328","Laxmi Publications","17th","2016","CE","Surveying","Engineering Reference","English","Textbook","13","8","CE-O05","Surveying techniques.","B095"
"Digital Electronics","Tocci","9780132543034","Pearson","7th","2010","EEE","Digital Electronics","Engineering Reference","English","Textbook","12","7","EEE-P05","Digital logic.","B096"
"Communication Systems","Simon Haykin","9788126518489","Wiley","5th","2008","ECE","Communication","Engineering Reference","English","Textbook","11","6","ECE-Q05","Communication principles.","B097"
"The Kite Runner","Khaled Hosseini","9781594631931","Riverhead Books","1st","2003","ENG","Fiction","Novel – Fiction","English","Novel","16","11","ENG-G16","Story of friendship and redemption.","B098"
"Life of Pi","Yann Martel","9780156027328","Harcourt","1st","2002","ENG","Adventure","Novel – Fiction","English","Novel","15","10","ENG-G17","Survival at sea.","B099"
"The Name of the Rose","Umberto Eco","9780156001311","Harcourt","1st","1983","ENG","Mystery","Novel – Fiction","English","Novel","14","9","ENG-G18","Medieval mystery.","B100"
